BusinessEntityID,PersonType,Title,FirstName,MiddleName,LastName,Suffix,EmailPromotion
5734,IN,,Mandy,,Liu,,2
5735,IN,,Thomas,N,Shan,,2
5736,IN,,Thomas,,Jai,,1
5737,IN,,Kyle,,Ross,,1
5738,IN,,Mandy,,Yang,,2
5739,IN,,Kyle,C,Henderson,,0
5740,IN,,Mandy,,Huang,,0
5741,IN,,Kyle,L,Jenkins,,1
5742,IN,,Kyle,J,Perry,,1
5743,IN,,Kyle,,Long,,0
5744,IN,,Jessie,,Carlson,,1
5745,IN,,Mandy,,Wu,,2
5746,IN,,Kyle,,Patterson,,0
5747,IN,,Mandy,C,Lin,,0
5748,IN,,Mandy,,Zhou,,0
5749,IN,,Kyle,J,Holt,,1
5750,IN,,Kyle,,Flores,,0
5751,IN,,Mandy,,Ye,,1
5752,IN,,Kyle,C,Washington,,2
5753,IN,,Kyle,B,Butler,,1
5754,IN,,Kyle,J,Simmons,,0
5755,IN,,Kyle,M,Foster,,0
5756,IN,,Mandy,F,Zhao,,0
5757,IN,,Kyle,,Gonzales,,2
5758,IN,,Mandy,,Lu,,0
5759,IN,,Mandy,,Xu,,0
5760,IN,,Kyle,,Bryant,,0
5761,IN,,Mandy,L,Sun,,1
5762,IN,,Kyle,,Alexander,,1
5763,IN,,Kyle,M,Russell,,2
5764,IN,,Kyle,L,Griffin,,2
5765,IN,,Kyle,,Diaz,,0
5766,IN,,Mandy,M,Gao,,1
5767,IN,,Kyle,E,Hayes,,0
5768,IN,,Jessie,D,Suarez,,2
5769,IN,,Mandy,,Ma,,0
5770,IN,,Kyle,C,Zhang,,2
5771,IN,,Kyle,,Wang,,2
5772,IN,,Mandy,,Liang,,1
5773,IN,,Kyle,,Chen,,1
5774,IN,,Kyle,L,Li,,2
5775,IN,,Mandy,,Guo,,0
5776,IN,,Mandy,A,He,,0
5777,IN,,Kyle,C,Yang,,0
5778,IN,,Mandy,,Zheng,,0
5779,IN,,Kyle,,Kumar,,0
5780,IN,,Kyle,,Lal,,0
5781,IN,,Mandy,A,Cai,,0
5782,IN,,Kyle,,Sharma,,0
5783,IN,,Mandy,,Zeng,,0
5784,IN,,Kyle,C,Shan,,2
5785,IN,,Mandy,K,She,,1
5786,IN,,Kyle,,Jai,,0
5787,IN,,Aimee,,Zhang,,2
5788,IN,,Damien,A,Chen,,0
5789,IN,,Jessie,,Sanz,,0
5790,IN,,Aimee,,Wang,,0
5791,IN,,Aimee,,Chen,,1
5792,IN,,Aimee,,Li,,2
5793,IN,,Kevin,L,Ross,,1
5794,IN,,Kevin,,Coleman,,0
5795,IN,,Aimee,,Liu,,2
5796,IN,,Kevin,,Perry,,1
5797,IN,,Aimee,,Huang,,0
5798,IN,,Aimee,,Wu,,0
5799,IN,,Aimee,M,Zhou,,0
5800,IN,,Kevin,,Powell,,2
5801,IN,,Kevin,L,Long,,0
5802,IN,,Daisuke,,Yanagishima,,1
5803,IN,,Kevin,,Patterson,,0
5804,IN,,Jessie,J,Rubio,,1
5805,IN,,Kevin,A,Hughes,,1
5806,IN,,Kevin,,Flores,,1
5807,IN,,Kevin,C,Washington,,0
5808,IN,,Aimee,J,Lu,,0
5809,IN,,Kevin,R,Butler,,0
5810,IN,,Kevin,,Simmons,,1
5811,IN,,Aimee,R,Sun,,0
5812,IN,,Kevin,J,Gonzales,,2
5813,IN,,Kevin,,Bryant,,0
5814,IN,,Aimee,,Gao,,0
5815,IN,,Kevin,,Alexander,,1
5816,IN,,Kevin,,Russell,,0
5817,IN,,Kevin,,Griffin,,2
5818,IN,,Aimee,R,Ma,,1
5819,IN,,Kevin,,Diaz,,1
5820,IN,,Kevin,L,Hayes,,2
5821,IN,,Kevin,V,Zhang,,1
5822,IN,,Kevin,,Wang,,2
5823,IN,,Kevin,,Chen,,1
5824,IN,,Kevin,S,Li,,2
5825,IN,,Aimee,,Guo,,2
5826,IN,,Kevin,F,Yang,,2
5827,IN,,Aimee,A,He,,0
5828,IN,,Kevin,,Kumar,,0
5829,IN,,Kevin,,Lal,,0
5830,IN,,Kevin,,Sharma,,1
5831,IN,,Jessie,J,Ortega,,1
5832,IN,,Aimee,H,Zheng,,2
5833,IN,,Kevin,,Shan,,1
5834,IN,,Kevin,,Jai,,2
5835,IN,,Aimee,R,Hu,,1
5836,IN,,Albert,S,Cabello,,2
5837,IN,,Gabriel,K,Ross,,2
5838,IN,,Gabriel,B,Coleman,,0
5839,IN,,Aimee,,Zeng,,2
5840,IN,,Gabriel,M,Jenkins,,1
5841,IN,,Gabriel,A,Perry,,1
5842,IN,,Aimee,,She,,0
5843,IN,,Gabriel,M,Powell,,0
5844,IN,,Gabriel,,Long,,1
5845,IN,,Gabriel,C,Patterson,,2
5846,IN,,Gabriel,L,Hughes,,1
5847,IN,,Claudia,,Zhang,,1
5848,IN,,Gabriel,,Flores,,0
5849,IN,,Gabriel,,Washington,,0
5850,IN,,Gabriel,,Butler,,1
5851,IN,,Claudia,R,Chen,,2
5852,IN,,Gabriel,,Simmons,,0
5853,IN,,Gabriel,G,Foster,,0
5854,IN,,Claudia,J,Li,,0
5855,IN,,Claudia,E,McDonald,,1
5856,IN,,Gabriel,M,Gonzales,,1
5857,IN,,Gabriel,,Bryant,,1
5858,IN,,Daisy,,Hernandez,,0
5859,IN,,Claudia,,Yang,,0
5860,IN,,Claudia,M,Huang,,0
5861,IN,,Gabriel,C,Alexander,,0
5862,IN,,Claudia,A,Lin,,0
5863,IN,,Claudia,M,Zhou,,1
5864,IN,,Claudia,J,Ye,,2
5865,IN,,Gabriel,,Russell,,0
5866,IN,,Claudia,E,Zhao,,1
5867,IN,,Gabriel,,Griffin,,2
5868,IN,,Gabriel,,Diaz,,0
5869,IN,,Claudia,,McDonald,,0
5870,IN,,Gabriel,,Zhang,,1
5871,IN,,Claudia,J,Xu,,1
5872,IN,,Gabriel,,Wang,,1
5873,IN,,Gabriel,,Chow,,2
5874,IN,,Claudia,J,Sun,,1
5875,IN,,Daisy,P,Alvarez,,2
5876,IN,,Gabriel,J,Li,,1
5877,IN,,Gabriel,W,Yang,,1
5878,IN,,Gabriel,R,Kumar,,0
5879,IN,,Claudia,,Gao,,1
5880,IN,,Claudia,E,Ma,,0
5881,IN,,Connie,R,Liang,,0
5882,IN,,Gabriel,,Lal,,2
5883,IN,,Gabriel,,Sharma,,0
5884,IN,,Gabriel,T,Shan,,0
5885,IN,,Claudia,R,Guo,,0
5886,IN,,Gabriel,,Jai,,2
5887,IN,,Elijah,E,Ross,,0
5888,IN,,Elijah,M,Henderson,,2
5889,IN,,Elijah,,Coleman,,0
5890,IN,,Claudia,F,He,,0
5891,IN,,Elijah,S,Jenkins,,1
5892,IN,,Claudia,,Zheng,,0
5893,IN,,Elijah,,Perry,,1
5894,IN,,Elijah,E,Powell,,1
5895,IN,,Claudia,,Holt,,0
5896,IN,,Elijah,,Long,,0
5897,IN,,Elijah,A,Patterson,,2
5898,IN,,Claudia,M,Zeng,,0
5899,IN,,Elijah,,Hughes,,0
5900,IN,,Elijah,C,Flores,,0
5901,IN,,Daisy,,Jiménez,,1
5902,IN,,Claudia,C,She,,0
5903,IN,Ms.,Autumn,D,Zhang,,2
5904,IN,,Elijah,L,Washington,,0
5905,IN,,Elijah,D,Butler,,0
5906,IN,,Autumn,,Wang,,2
5907,IN,,Autumn,I,Chen,,1
5908,IN,,Elijah,A,Gonzales,,0
5909,IN,,Autumn,P,Li,,1
5910,IN,,Elijah,,Alexander,,0
5911,IN,,Autumn,J,Liu,,2
5912,IN,,Elijah,M,Russell,,2
5913,IN,,Elijah,P,Griffin,,2
5914,IN,,Elijah,,Diaz,,0
5915,IN,,Elijah,P,Hayes,,0
5916,IN,,Elijah,,Zhang,,1
5917,IN,,Autumn,,Huang,,1
5918,IN,,Elijah,S,Wang,,2
5919,IN,,Autumn,,Wu,,1
5920,IN,,Autumn,E,Lin,,1
5921,IN,,Deb,A,Moreno,,1
5922,IN,,Autumn,L,Zhou,,0
5923,IN,,Elijah,,Chen,,0
5924,IN,,Logan,M,Yang,,1
5925,IN,,Logan,,Kumar,,0
5926,IN,,Logan,L,Lal,,0
5927,IN,,Autumn,J,Zhao,,0
5928,IN,,Logan,J,Sharma,,0
5929,IN,,Autumn,,Lu,,0
5930,IN,,Autumn,I,Xu,,0
5931,IN,,Logan,,Shan,,0
5932,IN,,Logan,H,Jai,,0
5933,IN,,Autumn,A,Sun,,0
5934,IN,,Nathan,L,Ross,,1
5935,IN,,Autumn,,Zhu,,0
5936,IN,,Autumn,W,Gao,,0
5937,IN,,Nathan,,Henderson,,0
5938,IN,,Autumn,,Ma,,1
5939,IN,,Autumn,,Liang,,0
5940,IN,,Nathan,M,Jenkins,,0
5941,IN,,Nathan,,Perry,,1
5942,IN,,Daisy,,Munoz,,1
5943,IN,,Autumn,A,Guo,,0
5944,IN,,Autumn,,He,,1
5945,IN,,Autumn,A,Zheng,,1
5946,IN,,Nathan,,Powell,,1
5947,IN,,Autumn,O,Cai,,1
5948,IN,,Nathan,,Long,,0
5949,IN,,Autumn,,Zeng,,0
5950,IN,,Nathan,W,Patterson,,0
5951,IN,,Nathan,B,Hughes,,0
5952,IN,,Trisha,,Zhang,,0
5953,IN,,Nathan,C,Flores,,0
5954,IN,,Nathan,,West,,0
5955,IN,,Trisha,V,Wang,,0
5956,IN,,Trisha,W,Chen,,1
5957,IN,,Nathan,K,Butler,,0
5958,IN,,Daisy,,Alonso,,0
5959,IN,,Trisha,A,Li,,2
5960,IN,,Nathan,M,Simmons,,1
5961,IN,,Nathan,,Foster,,0
5962,IN,,Trisha,V,Liu,,0
5963,IN,,Nathan,M,Gonzales,,0
5964,IN,,Nathan,,Bryant,,0
5965,IN,,Nathan,A,Alexander,,0
5966,IN,,Nathan,,Russell,,2
5967,IN,,Nathan,,Griffin,,1
5968,IN,,Nathan,,Diaz,,0
5969,IN,,Mallory,P,Gill,,0
5970,IN,,Nathan,K,Hayes,,0
5971,IN,,Mallory,M,Vazquez,,0
5972,IN,,Mallory,,Blanco,,1
5973,IN,,Nathan,L,Zhang,,0
5974,IN,,Mallory,E,Serrano,,0
5975,IN,,Nathan,,Wang,,0
5976,IN,,Nathan,D,Chen,,2
5977,IN,,Mallory,M,Ramos,,0
5978,IN,,Nathan,,Li,,0
5979,IN,,Mallory,A,Carlson,,0
5980,IN,,Nathan,D,Yang,,1
5981,IN,,Nathan,,Kumar,,2
5982,IN,,Nathan,E,Lal,,2
5983,IN,,Daisy,M,Romero,,0
5984,IN,,Mallory,,Sanz,,0
5985,IN,,Nathan,A,Sharma,,2
5986,IN,,Mallory,S,Rubio,,0
5987,IN,,Nathan,C,Shan,,0
5988,IN,,Nathan,M,Jai,,2
5989,IN,,Samuel,T,Ross,,0
5990,IN,,Audrey,,Martin,,2
5991,IN,,Samuel,L,Henderson,,2
5992,IN,,Samuel,N,Coleman,,2
5993,IN,,Audrey,,Gomez,,1
5994,IN,,Samuel,,Jenkins,,0
5995,IN,,Samuel,,Perry,,0
5996,IN,,Samuel,,Powell,,1
5997,IN,,Audrey,,Ruiz,,2
5998,IN,,Samuel,A,Long,,2
5999,IN,,Audrey,H,Diaz,,0
6000,IN,,Samuel,R,Patterson,,1
6001,IN,,Audrey,,Hernandez,,0
6002,IN,,Samuel,W,Hughes,,1
6003,IN,,Audrey,L,Alvarez,,0
6004,IN,,Samuel,G,Flores,,0
6005,IN,,Samuel,A,Washington,,0
6006,IN,,Samuel,T,Butler,,1
6007,IN,,Samuel,,Simmons,,2
6008,IN,,Samuel,M,Foster,,0
6009,IN,,Damien,L,Li,,0
6010,IN,,Daisy,,Navarro,,0
6011,IN,,Audrey,,Moreno,,1
6012,IN,,Samuel,,Gonzales,,0
6013,IN,,Audrey,V,Munoz,,1
6014,IN,,Samuel,K,Bryant,,2
6015,IN,,Audrey,J,Alonso,,1
6016,IN,,Samuel,,Alexander,,0
6017,IN,,Samuel,V,Russell,,0
6018,IN,,Samuel,K,Griffin,,0
6019,IN,,Audrey,S,Romero,,0
6020,IN,,Samuel,,Diaz,,0
6021,IN,,Samuel,,Hayes,,1
6022,IN,,Audrey,S,Navarro,,0
6023,IN,,Samuel,J,Wang,,2
6024,IN,,Samuel,D,Chen,,0
6025,IN,,Audrey,,Gutierrez,,0
6026,IN,,Samuel,R,Yang,,0
6027,IN,,Audrey,,Torres,,1
6028,IN,,Samuel,R,Lal,,1
6029,IN,,Audrey,E,Dominguez,,1
6030,IN,,Samuel,,Sharma,,0
6031,IN,,Audrey,H,Gill,,0
6032,IN,,Samuel,E,Shan,,0
6033,IN,,Samuel,L,Jai,,1
6034,IN,,Hunter,,Ross,,0
6035,IN,,Hunter,C,Henderson,,0
6036,IN,,Hunter,F,Coleman,,0
6037,IN,,Hunter,,Jenkins,,2
6038,IN,,Hunter,,Perry,,0
6039,IN,,Audrey,,Vazquez,,0
6040,IN,,Daisy,,Gutierrez,,2
6041,IN,,Audrey,,Blanco,,2
6042,IN,,Hunter,,Powell,,2
6043,IN,,Audrey,,Serrano,,1
6044,IN,,Hunter,,McDonald,,0
6045,IN,,Hunter,B,Patterson,,0
6046,IN,,Audrey,,Ramos,,1
6047,IN,,Audrey,A,Carlson,,0
6048,IN,,Audrey,,Suarez,,0
6049,IN,,Hunter,,Hughes,,0
6050,IN,,Audrey,,Sanz,,0
6051,IN,,Hunter,,Flores,,1
6052,IN,,Hunter,,Washington,,0
6053,IN,,Hunter,A,Butler,,2
6054,IN,,Audrey,L,Rubio,,2
6055,IN,,Audrey,D,Ortega,,0
6056,IN,,Beth,K,Martin,,0
6057,IN,,Hunter,,Simmons,,0
6058,IN,,Beth,C,Gomez,,1
6059,IN,,Hunter,A,Foster,,0
6060,IN,,Hunter,,Gonzales,,0
6061,IN,,Deb,,Torres,,0
6062,IN,,Beth,L,Ruiz,,0
6063,IN,,Hunter,,Bryant,,0
6064,IN,,Beth,P,Diaz,,0
6065,IN,,Greg,,Russell,,1
6066,IN,,Beth,L,Hernandez,,0
6067,IN,,Hunter,D,Griffin,,0
6068,IN,,Hunter,S,Diaz,,2
6069,IN,,Beth,M,Alvarez,,0
6070,IN,,Hunter,,Hayes,,0
6071,IN,,Henry,,Zimmerman,,1
6072,IN,,Hunter,,Wang,,1
6073,IN,,Beth,H,Jiménez,,1
6074,IN,,Hunter,B,Chen,,0
6075,IN,,Beth,,Moreno,,0
6076,IN,,Hunter,G,Li,,0
6077,IN,,Hunter,E,Yang,,1
6078,IN,,Hunter,,Kumar,,2
6079,IN,,Hunter,,Lal,,2
6080,IN,,Beth,R,Alonso,,0
6081,IN,,Hunter,A,Sharma,,1
6082,IN,,Hunter,,Shan,,0
6083,IN,,Beth,,Romero,,0
6084,IN,,Hunter,M,Jai,,0
6085,IN,,Noah,,Ross,,0
6086,IN,,Beth,,Navarro,,1
6087,IN,,Noah,L,Henderson,,2
6088,IN,,Deb,A,Dominguez,,0
6089,IN,,Beth,C,Gutierrez,,1
6090,IN,,Noah,,Coleman,,2
6091,IN,,Noah,A,Jenkins,,1
6092,IN,,Noah,K,Perry,,0
6093,IN,,Beth,,Torres,,1
6094,IN,,Beth,,Dominguez,,0
6095,IN,,Beth,,Gill,,2
6096,IN,,Noah,D,Powell,,0
6097,IN,,Noah,K,Long,,0
6098,IN,,Beth,A,Vazquez,,1
6099,IN,,Noah,L,Patterson,,0
6100,IN,,Beth,,Blanco,,0
6101,IN,,Noah,J,Hughes,,0
6102,IN,,Noah,,Flores,,0
6103,IN,,Noah,,Washington,,1
6104,IN,,Beth,,Serrano,,0
6105,IN,,Noah,E,Butler,,0
6106,IN,,Beth,J,Carlson,,1
6107,IN,,Beth,K,Suarez,,0
6108,IN,,Noah,,Simmons,,0
6109,IN,,Noah,B,Foster,,0
6110,IN,,Daisy,E,Gill,,2
6111,IN,,Beth,,Sanz,,0
6112,IN,,Noah,,Gonzales,,0
6113,IN,,Noah,,Bryant,,1
6114,IN,,Noah,,Alexander,,2
6115,IN,,Noah,M,Russell,,0
6116,IN,,Noah,E,Griffin,,2
6117,IN,,Beth,,Rubio,,0
6118,IN,,Noah,B,Diaz,,0
6119,IN,,Beth,A,Ortega,,1
6120,IN,,Noah,E,Hayes,,2
6121,IN,,Latasha,,Martin,,0
6122,IN,,Latasha,L,Gomez,,0
6123,IN,,Noah,J,Zhang,,0
6124,IN,,Noah,L,Chen,,0
6125,IN,,Latasha,L,Rowe,,2
6126,IN,,Latasha,E,Diaz,,0
6127,IN,,Noah,,Yang,,1
6128,IN,,Latasha,,Alvarez,,0
6129,IN,,Noah,L,Lal,,1
6130,IN,,Latasha,E,Jimenez,,0
6131,IN,,Daisy,L,Vazquez,,0
6132,IN,,Latasha,R,Moreno,,0
6133,IN,,Latasha,,Munoz,,2
6134,IN,,Latasha,A,Alonso,,0
6135,IN,,Latasha,,Romero,,0
6136,IN,,Noah,A,Shan,,0
6137,IN,,Noah,E,Jai,,0
6138,IN,,Latasha,L,Navarro,,1
6139,IN,,Robert,,Ross,,0
6140,IN,,Robert,K,Henderson,,2
6141,IN,,Robert,L,Coleman,,0
6142,IN,,Latasha,C,Gutierrez,,1
6143,IN,,Robert,Z,Jenkins,,0
6144,IN,,Robert,J,Perry,,1
6145,IN,,Latasha,M,Dominguez,,0
6146,IN,,Robert,C,Powell,,0
6147,IN,,Robert,C,Long,,2
6148,IN,,Latasha,M,Gill,,0
6149,IN,,Robert,,Patterson,,0
6150,IN,,Latasha,,Vazquez,,0
6151,IN,,Daisy,L,Blanco,,0
6152,IN,,Latasha,C,Bradley,,1
6153,IN,,Latasha,,Serrano,,0
6154,IN,,Robert,,Flores,,1
6155,IN,,Robert,J,Washington,,0
6156,IN,,Latasha,L,Ramos,,0
6157,IN,,Robert,D,Butler,,0
6158,IN,,Latasha,,Carlson,,2
6159,IN,,Latasha,,Suarez,,0
6160,IN,,Latasha,,Sanz,,0
6161,IN,,Robert,S,Foster,,0
6162,IN,,Latasha,,Rubio,,0
6163,IN,,Robert,,Bryant,,2
6164,IN,,Latasha,,Ortega,,0
6165,IN,,Robert,,Alexander,,0
6166,IN,,Robert,L,Russell,,0
6167,IN,,Cheryl,C,Martin,,0
6168,IN,,Robert,S,Griffin,,0
6169,IN,,Robert,J,Diaz,,1
6170,IN,,Robert,M,Hayes,,2
6171,IN,,Robert,,Zhang,,0
6172,IN,,Daisy,P,Serrano,,1
6173,IN,,Cheryl,J,Ruiz,,0
6174,IN,,Cheryl,A,Diaz,,1
6175,IN,,Cheryl,,Hernandez,,2
6176,IN,,Robert,B,Wang,,2
6177,IN,,Cheryl,A,Alvarez,,0
6178,IN,,Robert,A,Chen,,2
6179,IN,,Robert,L,Li,,0
6180,IN,,Cheryl,,Jiménez,,0
6181,IN,,Robert,,Yang,,0
6182,IN,,Cheryl,A,Moreno,,0
6183,IN,,Cheryl,C,Munoz,,2
6184,IN,,Cheryl,L,Alan,,0
6185,IN,,Cheryl,A,Romero,,0
6186,IN,,Robert,,Kumar,,0
6187,IN,,Robert,L,Lal,,0
6188,IN,,Cheryl,,Navarro,,0
6189,IN,,Daisy,,Ramos,,0
6190,IN,,Cheryl,O,Gutierrez,,2
6191,IN,,Robert,,Shan,,0
6192,IN,,Robert,,Jai,,2
6193,IN,,Cheryl,T,Torres,,0
6194,IN,,Jose,,Ross,,0
6195,IN,,Jose,,Henderson,,0
6196,IN,,Jose,S,Coleman,,2
6197,IN,,Cheryl,M,Dominguez,,1
6198,IN,,Jose,C,Jenkins,,0
6199,IN,,Cheryl,R,Gill,,0
6200,IN,,Jose,M,Perry,,2
6201,IN,,Cheryl,A,Vazquez,,0
6202,IN,,Cheryl,,Blanco,,1
6203,IN,,Jose,,Long,,1
6204,IN,,Cheryl,J,Serrano,,1
6205,IN,,Jose,,Patterson,,2
6206,IN,,Cheryl,A,Ramos,,0
6207,IN,,Jose,,Hughes,,2
6208,IN,,Cheryl,M,Carlson,,2
6209,IN,,Christian,,Simmons,,0
6210,IN,,Cheryl,,Suarez,,0
6211,IN,,Christian,C,Foster,,0
6212,IN,,Christian,,Gonzales,,0
6213,IN,,Christian,M,Bryant,,2
6214,IN,,Daisy,B,Carlson,,0
6215,IN,,Cheryl,G,Sanz,,0
6216,IN,,Christian,C,Alexander,,0
6217,IN,,Christian,S,Russell,,1
6218,IN,,Christian,,Griffin,,1
6219,IN,,Cheryl,,Ortega,,0
6220,IN,,Christian,R,Hayes,,0
6221,IN,,Janet,L,Martin,,2
6222,IN,,Janet,,Gomez,,2
6223,IN,,Christian,D,Zhang,,0
6224,IN,,Janet,M,Ruiz,,1
6225,IN,,Janet,R,Diaz,,0
6226,IN,,Christian,,Wang,,0
6227,IN,,Christian,D,Chen,,1
6228,IN,,Christian,,Yang,,0
6229,IN,,Janet,G,Alvarez,,0
6230,IN,,Janet,P,Jimenez,,0
6231,IN,,Christian,L,Kumar,,2
6232,IN,,Christian,M,Lal,,0
6233,IN,,Christian,,Sharma,,1
6234,IN,,Damien,M,Liu,,1
6235,IN,,Daisy,A,Suarez,,0
6236,IN,,Janet,L,Moreno,,2
6237,IN,,Christian,L,Shan,,2
6238,IN,,Janet,,Munoz,,1
6239,IN,,Janet,K,Alonso,,2
6240,IN,,Austin,,Henderson,,1
6241,IN,,Janet,D,Romero,,1
6242,IN,,Austin,V,Coleman,,0
6243,IN,,Austin,D,Jenkins,,1
6244,IN,,Janet,J,Navarro,,0
6245,IN,,Austin,C,Perry,,1
6246,IN,,Austin,R,Powell,,1
6247,IN,,Austin,H,Long,,2
6248,IN,,Janet,M,Gutierrez,,1
6249,IN,,Austin,O,Patterson,,1
6250,IN,,Austin,P,Hughes,,1
6251,IN,,Austin,J,Flores,,0
6252,IN,,Austin,,Washington,,0
6253,IN,,Janet,J,Torres,,0
6254,IN,,Austin,W,Butler,,2
6255,IN,,Austin,L,Simmons,,0
6256,IN,,Janet,,Dominguez,,0
6257,IN,,Janet,B,Gill,,2
6258,IN,,Austin,C,Foster,,2
6259,IN,,Janet,R,Vazquez,,0
6260,IN,,Austin,D,Gonzales,,0
6261,IN,,Austin,L,Bryant,,0
6262,IN,,Daisy,,Sanz,,1
6263,IN,,Janet,,Browning,,0
6264,IN,,Janet,,Serrano,,0
6265,IN,,Janet,B,Ramos,,0
6266,IN,,Austin,,Alexander,,0
6267,IN,,Austin,,Russell,,1
6268,IN,,Janet,A,Carlson,,0
6269,IN,,Austin,K,Griffin,,0
6270,IN,,Austin,M,Diaz,,0
6271,IN,,Austin,,Hayes,,0
